Date, Best Altitude, Magnitude, Size, Best Azimith, RA, Dec
2019-11-17 16:11:46, 8.01, 10.24, 0.00, 142.30, 18:00, -26.536690
2019-11-24 16:03:33, 7.42, 10.08, 0.00, 275.16, 18:12, -26.646429
2019-12-01 15:57:37, 6.71, 9.92, 0.00, 115.96, 18:24, -26.699135
2019-12-08 15:54:15, 5.82, 9.74, 0.00, 248.94, 18:36, -26.693858
2019-12-15 00:00:00, 0.00, 9.56, 0.00, 90.27, 18:48, -26.630337
2019-12-22 00:00:00, 0.00, 9.37, 0.00, 223.02, 19:01, -26.509008
2019-12-29 00:00:00, 0.00, 9.18, 0.00, 55.88, 19:13, -26.330995
2020-01-05 00:00:00, 0.00, 9.01, 0.00, 193.37, 19:26, -26.098098
2020-01-12 00:00:00, 0.00, 8.90, 0.00, 354.14, 19:38, -25.812769
2020-01-19 00:00:00, 0.00, 8.97, 0.00, 161.37, 19:50, -25.478084
2020-01-26 00:00:00, 0.00, 9.14, 0.00, 298.46, 20:03, -25.097705
2020-02-02 00:00:00, 0.00, 9.33, 0.00, 131.70, 20:15, -24.675839
2020-02-09 00:00:00, 0.00, 9.53, 0.00, 267.43, 20:27, -24.217201
2020-02-16 00:00:00, 0.00, 9.72, 0.00, 105.19, 20:38, -23.726965
2020-02-23 00:00:00, 0.00, 9.90, 0.00, 242.44, 20:50, -23.210732
2020-03-01 00:00:00, 0.00, 10.07, 0.00, 77.16, 21:01, -22.674488
2020-03-08 00:00:00, 0.00, 10.24, 0.00, 215.52, 21:12, -22.124576
2020-03-15 00:00:00, 0.00, 10.39, 0.00, 36.45, 21:23, -21.567673
2020-03-22 00:00:00, 0.00, 10.53, 0.00, 184.06, 21:34, -21.010767
2020-03-29 00:00:00, 0.00, 10.66, 0.00, 337.57, 21:44, -20.461151
2020-04-05 00:00:00, 0.00, 10.78, 0.00, 151.38, 21:54, -19.926413
2020-04-12 05:15:04, 5.43, 10.87, 0.00, 294.10, 22:03, -19.414436
2020-04-19 04:59:57, 6.22, 10.95, 0.00, 122.43, 22:12, -18.933400
2020-04-26 04:45:33, 7.10, 11.01, 0.00, 266.14, 22:21, -18.491772
2020-05-03 04:32:08, 8.10, 11.05, 0.00, 96.68, 22:29, -18.098303
2020-05-10 04:19:55, 9.23, 11.07, 0.00, 241.57, 22:37, -17.761990
2020-05-17 04:09:12, 10.49, 11.07, 0.00, 69.05, 22:44, -17.492022
2020-05-24 04:00:15, 11.89, 11.03, 0.00, 214.55, 22:51, -17.297672
2020-05-31 03:53:23, 13.42, 10.97, 0.00, 30.81, 22:57, -17.188124
2020-06-07 03:48:50, 15.01, 10.88, 0.00, 183.56, 23:02, -17.172199
2020-06-14 03:46:46, 16.58, 10.76, 0.00, 340.11, 23:07, -17.257947
2020-06-21 03:47:15, 18.01, 10.60, 0.00, 152.73, 23:10, -17.452074
2020-06-28 03:50:11, 19.10, 10.41, 0.00, 299.52, 23:13, -17.759157
2020-07-05 03:55:23, 19.65, 10.19, 0.00, 126.69, 23:15, -18.180628
2020-07-12 03:59:50, 19.44, 9.93, 0.00, 272.11, 23:16, -18.713570
2020-07-19 03:31:49, 18.80, 9.63, 0.00, 105.07, 23:15, -19.349395
2020-07-26 03:02:39, 18.08, 9.31, 0.00, 249.63, 23:14, -20.072635
2020-08-02 02:32:22, 17.30, 8.98, 0.00, 84.72, 23:11, -20.860166
2020-08-09 02:01:02, 16.48, 8.64, 0.00, 227.64, 23:07, -21.681295
2020-08-16 01:28:47, 15.67, 8.33, 0.00, 60.85, 23:02, -22.499120
2020-08-23 00:55:50, 14.90, 8.10, 0.00, 204.46, 22:57, -23.273309
2020-08-30 00:22:26, 14.22, 8.05, 0.00, 25.02, 22:51, -23.964053
2020-09-06 23:48:52, 13.57, 8.21, 0.00, 180.32, 22:45, -24.536403
2020-09-13 23:15:29, 13.17, 8.49, 0.00, 335.53, 22:40, -24.963948
2020-09-20 22:42:34, 12.93, 8.82, 0.00, 156.55, 22:34, -25.230888
2020-09-27 22:10:24, 12.85, 9.16, 0.00, 296.92, 22:30, -25.332124
2020-10-04 21:39:10, 12.93, 9.49, 0.00, 134.17, 22:26, -25.271639
2020-10-11 21:09:02, 13.16, 9.79, 0.00, 271.76, 22:23, -25.059901
2020-10-18 20:40:02, 13.52, 10.06, 0.00, 112.90, 22:22, -24.711086
2020-10-25 20:12:13, 14.00, 10.30, 0.00, 251.06, 22:22, -24.240717
2020-11-01 19:45:32, 14.59, 10.50, 0.00, 90.63, 22:23, -23.663995
2020-11-08 19:19:56, 15.26, 10.67, 0.00, 229.57, 22:25, -22.994810
2020-11-15 18:55:20, 16.02, 10.80, 0.00, 62.10, 22:28, -22.245323
2020-11-22 18:31:40, 16.84, 10.89, 0.00, 204.07, 22:32, -21.425912
2020-11-29 18:08:48, 17.72, 10.96, 0.00, 17.08, 22:36, -20.545341
2020-12-06 17:46:41, 18.66, 10.99, 0.00, 173.89, 22:42, -19.611022
2020-12-13 17:25:13, 19.64, 11.00, 0.00, 324.16, 22:48, -18.629298
2020-12-20 17:04:19, 20.66, 10.98, 0.00, 142.79, 22:55, -17.605707
2020-12-27 16:43:55, 21.72, 10.94, 0.00, 288.66, 23:02, -16.545204
2021-01-03 16:23:58, 22.81, 10.87, 0.00, 114.51, 23:10, -15.452339
2021-01-10 16:15:47, 23.87, 10.79, 0.00, 263.24, 23:18, -14.331392
2021-01-17 16:26:30, 24.41, 10.69, 0.00, 87.60, 23:26, -13.186469
2021-01-24 16:38:21, 24.27, 10.58, 0.00, 238.61, 23:35, -12.021572
2021-01-31 16:50:54, 23.44, 10.45, 0.00, 56.33, 23:43, -10.840639
2021-02-07 17:03:48, 21.97, 10.31, 0.00, 208.85, 23:53, -9.647573
2021-02-14 17:16:45, 19.93, 10.16, 0.00, 13.90, 00:02, -8.446250
2021-02-21 17:29:37, 17.41, 10.00, 0.00, 171.89, 00:11, -7.240526
2021-02-28 17:42:16, 14.52, 9.83, 0.00, 328.29, 00:21, -6.034234
2021-03-07 17:54:42, 11.36, 9.66, 0.00, 134.86, 00:31, -4.831172
2021-03-14 18:06:55, 8.00, 9.48, 0.00, 294.41, 00:40, -3.635099
2021-03-21 00:00:00, 0.00, 9.31, 0.00, 103.85, 00:50, -2.449722
2021-03-28 00:00:00, 0.00, 9.16, 0.00, 268.15, 01:00, -1.278685
2021-04-04 00:00:00, 0.00, 9.06, 0.00, 75.52, 01:10, -0.125555
2021-04-11 00:00:00, 0.00, 9.06, 0.00, 241.55, 01:21, 1.006186
2021-04-18 00:00:00, 0.00, 9.15, 0.00, 43.61, 01:31, 2.113156
2021-04-25 00:00:00, 0.00, 9.30, 0.00, 206.97, 01:41, 3.192086
2021-05-02 00:00:00, 0.00, 9.46, 0.00, 4.71, 01:51, 4.239830
2021-05-09 00:00:00, 0.00, 9.63, 0.00, 162.37, 02:01, 5.253383
2021-05-16 00:00:00, 0.00, 9.80, 0.00, 326.27, 02:11, 6.229897
2021-05-23 00:00:00, 0.00, 9.96, 0.00, 122.16, 02:22, 7.166695
2021-05-30 00:00:00, 0.00, 10.11, 0.00, 295.78, 02:32, 8.061297
2021-06-06 03:49:28, 7.26, 10.26, 0.00, 91.66, 02:42, 8.911438
2021-06-13 03:46:57, 10.18, 10.40, 0.00, 269.99, 02:52, 9.715096
2021-06-20 03:46:59, 13.48, 10.53, 0.00, 64.08, 03:02, 10.470519
2021-06-27 03:49:30, 17.16, 10.65, 0.00, 241.97, 03:11, 11.176262
2021-07-04 03:54:19, 21.17, 10.75, 0.00, 33.38, 03:21, 11.831212
2021-07-11 04:01:06, 25.43, 10.84, 0.00, 202.51, 03:30, 12.434633
2021-07-18 04:09:29, 29.86, 10.91, 0.00, 358.16, 03:40, 12.986206
2021-07-25 04:19:04, 34.34, 10.97, 0.00, 152.30, 03:48, 13.486062
2021-08-01 04:29:28, 38.74, 11.01, 0.00, 324.42, 03:57, 13.934831
2021-08-08 04:40:22, 42.91, 11.02, 0.00, 113.20, 04:05, 14.333680
2021-08-15 04:51:33, 46.68, 11.01, 0.00, 296.55, 04:12, 14.684345
2021-08-22 05:02:50, 49.86, 10.98, 0.00, 85.43, 04:19, 14.989163
2021-08-29 05:14:08, 52.21, 10.92, 0.00, 272.05, 04:26, 15.251086
