Date, Best Altitude, Magnitude, Size, Best Azimith, RA, Dec
2019-11-17 16:11:46, 26.39, 10.85, 0.00, 154.70, 16:24, 4.521502
2019-11-24 16:03:33, 24.93, 10.83, 0.00, 318.95, 16:35, 4.163453
2019-12-01 15:57:37, 23.21, 10.82, 0.00, 118.04, 16:46, 3.886643
2019-12-08 07:59:44, 21.61, 10.84, 0.00, 287.80, 16:57, 3.693539
2019-12-15 08:06:47, 24.84, 10.89, 0.00, 89.68, 17:08, 3.586121
2019-12-22 08:11:27, 27.67, 10.95, 0.00, 260.56, 17:18, 3.565849
2019-12-29 08:13:26, 30.11, 11.03, 0.00, 61.97, 17:29, 3.633641
2020-01-05 08:12:38, 32.17, 11.12, 0.00, 230.14, 17:39, 3.789853
2020-01-12 08:09:06, 33.92, 11.22, 0.00, 28.39, 17:50, 4.034267
2020-01-19 08:03:03, 35.42, 11.32, 0.00, 189.89, 18:00, 4.366082
2020-01-26 07:54:46, 36.75, 11.43, 0.00, 348.70, 18:09, 4.783901
2020-02-02 07:44:32, 37.95, 11.52, 0.00, 145.63, 18:19, 5.285735
2020-02-09 07:32:42, 39.09, 11.62, 0.00, 313.10, 18:28, 5.868983
2020-02-16 07:19:34, 40.20, 11.70, 0.00, 110.75, 18:37, 6.530426
2020-02-23 07:05:23, 41.31, 11.78, 0.00, 285.36, 18:45, 7.266197
2020-03-01 06:50:25, 42.44, 11.85, 0.00, 82.99, 18:53, 8.071740
2020-03-08 06:34:53, 43.63, 11.91, 0.00, 260.57, 19:01, 8.941749
2020-03-15 06:18:57, 44.87, 11.95, 0.00, 55.70, 19:08, 9.870080
2020-03-22 06:02:50, 46.18, 11.98, 0.00, 231.92, 19:14, 10.849626
2020-03-29 05:46:42, 47.56, 11.99, 0.00, 24.76, 19:20, 11.872164
2020-04-05 05:30:43, 49.01, 11.98, 0.00, 191.57, 19:25, 12.928153
2020-04-12 05:15:04, 50.52, 11.96, 0.00, 351.56, 19:29, 14.006497
2020-04-19 04:59:57, 52.06, 11.92, 0.00, 144.67, 19:32, 15.094279
2020-04-26 04:45:33, 53.60, 11.86, 0.00, 322.14, 19:35, 16.176474
2020-05-03 04:32:08, 55.07, 11.78, 0.00, 109.36, 19:37, 17.235688
2020-05-10 04:19:55, 56.36, 11.69, 0.00, 298.52, 19:37, 18.251965
2020-05-17 04:02:04, 57.35, 11.58, 0.00, 83.93, 19:37, 19.202742
2020-05-24 03:33:06, 58.21, 11.45, 0.00, 278.15, 19:36, 20.063060
2020-05-31 03:03:10, 58.95, 11.31, 0.00, 61.90, 19:33, 20.806125
2020-06-07 02:32:17, 59.54, 11.17, 0.00, 257.04, 19:30, 21.404350
2020-06-14 02:00:33, 59.96, 11.03, 0.00, 39.78, 19:26, 21.830917
2020-06-21 01:28:07, 60.19, 10.91, 0.00, 229.16, 19:21, 22.061818
2020-06-28 00:55:08, 60.20, 10.80, 0.00, 16.14, 19:16, 22.078190
2020-07-05 00:21:51, 60.00, 10.72, 0.00, 187.20, 19:10, 21.868598
2020-07-12 23:48:28, 59.46, 10.68, 0.00, 351.20, 19:04, 21.430820
2020-07-19 23:15:16, 58.78, 10.69, 0.00, 142.77, 18:59, 20.772722
2020-07-26 22:42:27, 57.90, 10.74, 0.00, 326.37, 18:53, 19.911949
2020-08-02 22:10:15, 56.84, 10.83, 0.00, 112.55, 18:49, 18.874459
2020-08-09 21:38:49, 55.65, 10.96, 0.00, 302.75, 18:45, 17.692183
2020-08-16 21:08:16, 54.35, 11.10, 0.00, 90.84, 18:42, 16.400275
2020-08-23 20:38:41, 52.99, 11.25, 0.00, 279.80, 18:40, 15.034445
2020-08-30 20:10:07, 51.58, 11.40, 0.00, 70.95, 18:39, 13.628735
2020-09-06 19:42:33, 50.18, 11.54, 0.00, 254.98, 18:39, 12.213956
2020-09-13 19:15:59, 48.79, 11.67, 0.00, 48.40, 18:40, 10.816788
2020-09-20 18:50:21, 47.44, 11.79, 0.00, 223.61, 18:42, 9.459460
2020-09-27 18:25:36, 46.15, 11.88, 0.00, 19.42, 18:45, 8.159851
2020-10-04 18:01:41, 44.94, 11.96, 0.00, 182.66, 18:49, 6.931865
2020-10-11 17:38:32, 43.80, 12.01, 0.00, 344.09, 18:53, 5.785926
2020-10-18 17:16:05, 42.76, 12.04, 0.00, 142.34, 18:58, 4.729522
2020-10-25 16:54:16, 41.81, 12.06, 0.00, 309.99, 19:04, 3.767719
2020-11-01 16:35:59, 40.95, 12.05, 0.00, 111.66, 19:10, 2.903611
2020-11-08 16:23:55, 40.12, 12.02, 0.00, 281.36, 19:17, 2.138709
2020-11-15 16:13:26, 39.31, 11.97, 0.00, 86.30, 19:24, 1.473252
2020-11-22 16:04:51, 38.48, 11.91, 0.00, 254.68, 19:32, 0.906452
2020-11-29 15:58:30, 37.56, 11.83, 0.00, 59.73, 19:40, 0.436693
2020-12-06 15:54:39, 36.49, 11.74, 0.00, 224.02, 19:48, 0.061676
2020-12-13 15:53:33, 35.17, 11.63, 0.00, 25.68, 19:57, -0.221463
2020-12-20 15:55:16, 33.50, 11.52, 0.00, 185.12, 20:06, -0.416069
2020-12-27 15:59:45, 31.40, 11.39, 0.00, 344.04, 20:15, -0.525891
2021-01-03 16:06:43, 28.81, 11.26, 0.00, 144.78, 20:24, -0.555029
2021-01-10 16:15:47, 25.73, 11.13, 0.00, 306.99, 20:33, -0.507887
2021-01-17 16:26:30, 22.19, 11.00, 0.00, 112.36, 20:42, -0.389131
2021-01-24 16:38:21, 18.26, 10.88, 0.00, 278.26, 20:51, -0.203653
2021-01-31 16:50:54, 14.05, 10.78, 0.00, 85.16, 21:01, 0.043455
2021-02-07 07:34:54, 13.96, 10.72, 0.00, 251.90, 21:10, 0.346936
2021-02-14 07:21:59, 15.05, 10.71, 0.00, 56.63, 21:19, 0.701383
2021-02-21 07:07:58, 16.03, 10.75, 0.00, 220.92, 21:28, 1.101264
2021-02-28 06:53:08, 16.93, 10.84, 0.00, 21.00, 21:37, 1.540932
2021-03-07 06:37:40, 17.79, 10.95, 0.00, 180.69, 21:46, 2.014634
2021-03-14 06:21:48, 18.63, 11.08, 0.00, 340.55, 21:55, 2.516514
2021-03-21 06:05:42, 19.48, 11.21, 0.00, 139.46, 22:03, 3.040604
2021-03-28 05:49:34, 20.36, 11.35, 0.00, 306.23, 22:11, 3.580814
2021-04-04 05:33:32, 21.30, 11.47, 0.00, 107.16, 22:20, 4.130908
2021-04-11 05:17:49, 22.31, 11.59, 0.00, 279.23, 22:27, 4.684468
2021-04-18 05:02:35, 23.43, 11.70, 0.00, 80.27, 22:35, 5.234857
2021-04-25 04:48:03, 24.68, 11.80, 0.00, 253.82, 22:42, 5.775158
2021-05-02 04:34:26, 26.07, 11.89, 0.00, 52.54, 22:50, 6.298112
2021-05-09 04:21:59, 27.65, 11.96, 0.00, 223.14, 22:56, 6.796033
2021-05-16 04:10:59, 29.44, 12.01, 0.00, 19.64, 23:03, 7.260720
2021-05-23 04:01:42, 31.45, 12.04, 0.00, 181.91, 23:08, 7.683347
2021-05-30 03:54:27, 33.68, 12.04, 0.00, 343.66, 23:14, 8.054353
2021-06-06 03:49:28, 36.12, 12.03, 0.00, 139.68, 23:19, 8.363326
2021-06-13 03:46:57, 38.69, 11.98, 0.00, 312.07, 23:23, 8.598895
2021-06-20 03:46:59, 41.26, 11.91, 0.00, 108.23, 23:27, 8.748658
2021-06-27 03:49:30, 43.63, 11.81, 0.00, 286.38, 23:30, 8.799162
2021-07-04 03:54:19, 45.48, 11.67, 0.00, 83.80, 23:32, 8.736006
2021-07-11 04:01:06, 46.46, 11.49, 0.00, 262.83, 23:33, 8.544114
2021-07-18 03:55:32, 46.33, 11.27, 0.00, 60.62, 23:34, 8.208284
2021-07-25 03:27:32, 45.84, 11.02, 0.00, 236.62, 23:34, 7.714119
2021-08-01 02:58:36, 45.17, 10.72, 0.00, 34.76, 23:32, 7.049417
2021-08-08 02:28:44, 44.33, 10.38, 0.00, 203.70, 23:30, 6.206087
