Date, Best Altitude, Magnitude, Size, Best Azimith, RA, Dec
2019-11-17 07:28:31, 34.18, 15.22, 0.00, 228.95, 12:15, -2.014782
2019-11-24 07:40:07, 34.81, 15.50, 0.00, 33.43, 12:24, -2.696896
2019-12-01 07:50:41, 34.76, 15.74, 0.00, 191.96, 12:33, -3.318967
2019-12-08 07:41:00, 34.24, 15.94, 0.00, 351.20, 12:41, -3.873460
2019-12-15 07:21:08, 33.77, 16.09, 0.00, 153.22, 12:49, -4.352618
2019-12-22 07:00:42, 33.38, 16.20, 0.00, 311.55, 12:56, -4.748472
2019-12-29 06:39:38, 33.08, 16.24, 0.00, 121.55, 13:03, -5.052874
2020-01-05 06:17:53, 32.88, 16.23, 0.00, 281.87, 13:08, -5.257581
2020-01-12 05:55:22, 32.79, 16.15, 0.00, 95.88, 13:13, -5.354402
2020-01-19 05:31:59, 32.81, 15.99, 0.00, 257.11, 13:18, -5.335451
2020-01-26 05:07:41, 32.96, 15.75, 0.00, 70.97, 13:21, -5.193555
2020-02-02 04:42:21, 33.23, 15.43, 0.00, 231.68, 13:23, -4.922860
2020-02-09 04:15:57, 33.63, 15.02, 0.00, 41.59, 13:24, -4.519694
2020-02-16 03:48:25, 34.17, 14.52, 0.00, 201.87, 13:25, -3.983694
2020-02-23 03:19:45, 34.84, 13.93, 0.00, 5.75, 13:23, -3.319176
2020-03-01 02:49:58, 35.62, 13.25, 0.00, 168.34, 13:21, -2.536561
2020-03-08 02:19:08, 36.50, 12.52, 0.00, 330.88, 13:18, -1.653583
2020-03-15 01:47:23, 37.45, 11.73, 0.00, 137.07, 13:14, -0.695809
2020-03-22 01:14:55, 38.45, 10.95, 0.00, 303.87, 13:09, 0.303966
2020-03-29 00:41:59, 39.45, 10.29, 0.00, 111.24, 13:04, 1.307759
2020-04-05 00:08:50, 40.41, 10.22, 0.00, 282.63, 12:58, 2.275713
2020-04-12 23:35:46, 41.42, 10.83, 0.00, 88.94, 12:53, 3.170081
2020-04-19 23:03:03, 42.18, 11.62, 0.00, 262.97, 12:48, 3.958925
2020-04-26 22:30:55, 42.82, 12.40, 0.00, 66.90, 12:43, 4.618662
2020-05-03 21:59:32, 43.32, 13.14, 0.00, 240.75, 12:39, 5.135021
2020-05-10 21:29:03, 43.67, 13.80, 0.00, 41.76, 12:36, 5.502501
2020-05-17 20:59:32, 43.87, 14.38, 0.00, 211.33, 12:34, 5.722832
2020-05-24 20:31:00, 43.93, 14.88, 0.00, 11.10, 12:33, 5.803002
2020-05-31 20:12:37, 43.80, 15.30, 0.00, 173.18, 12:34, 5.753353
2020-06-07 20:19:35, 42.73, 15.63, 0.00, 337.29, 12:34, 5.585991
2020-06-14 20:24:29, 40.79, 15.88, 0.00, 136.24, 12:36, 5.313626
2020-06-21 20:27:03, 38.34, 16.06, 0.00, 306.54, 12:39, 4.948804
2020-06-28 20:27:04, 35.67, 16.17, 0.00, 107.55, 12:42, 4.503455
2020-07-05 20:24:29, 32.99, 16.23, 0.00, 280.15, 12:46, 3.988671
2020-07-12 20:19:26, 30.43, 16.22, 0.00, 83.31, 12:51, 3.414635
2020-07-19 20:12:05, 28.07, 16.16, 0.00, 254.45, 12:56, 2.790641
2020-07-26 20:02:42, 25.93, 16.06, 0.00, 57.79, 13:02, 2.125161
2020-08-02 19:51:35, 24.00, 15.91, 0.00, 224.11, 13:08, 1.425938
2020-08-09 19:39:02, 22.28, 15.73, 0.00, 25.31, 13:15, 0.700082
2020-08-16 19:25:18, 20.73, 15.51, 0.00, 185.64, 13:22, -0.045832
2020-08-23 19:10:39, 19.34, 15.26, 0.00, 344.98, 13:29, -0.805684
2020-08-30 18:55:18, 18.07, 14.99, 0.00, 146.48, 13:37, -1.573731
2020-09-06 18:39:26, 16.91, 14.69, 0.00, 307.43, 13:45, -2.344544
2020-09-13 18:23:16, 15.82, 14.37, 0.00, 115.47, 13:53, -3.112954
2020-09-20 18:06:57, 14.79, 14.04, 0.00, 277.58, 14:01, -3.874011
2020-09-27 17:50:40, 13.80, 13.69, 0.00, 89.77, 14:09, -4.622953
2020-10-04 17:34:34, 12.82, 13.33, 0.00, 250.39, 14:18, -5.355181
2020-10-11 17:18:51, 11.82, 12.96, 0.00, 62.81, 14:27, -6.066243
2020-10-18 17:03:42, 10.79, 12.60, 0.00, 219.83, 14:36, -6.751829
2020-10-25 16:49:20, 9.69, 12.27, 0.00, 26.79, 14:45, -7.407772
2020-11-01 16:35:59, 8.49, 12.01, 0.00, 183.19, 14:54, -8.030053
2020-11-08 16:23:55, 7.16, 11.91, 0.00, 340.23, 15:04, -8.614813
2020-11-15 07:26:23, 8.61, 12.03, 0.00, 146.67, 15:13, -9.158371
2020-11-22 07:38:07, 12.16, 12.30, 0.00, 300.11, 15:22, -9.657248
2020-11-29 07:48:54, 15.35, 12.64, 0.00, 116.69, 15:32, -10.108191
2020-12-06 07:58:15, 18.09, 13.00, 0.00, 270.55, 15:41, -10.508202
2020-12-13 08:05:42, 20.34, 13.37, 0.00, 90.78, 15:50, -10.854565
2020-12-20 08:10:48, 22.11, 13.73, 0.00, 243.90, 15:59, -11.144883
2020-12-27 08:13:17, 23.44, 14.08, 0.00, 62.52, 16:09, -11.377101
2021-01-03 08:12:58, 24.40, 14.42, 0.00, 214.07, 16:17, -11.549540
2021-01-10 08:09:55, 25.09, 14.73, 0.00, 23.32, 16:26, -11.660926
2021-01-17 08:04:18, 25.58, 15.02, 0.00, 179.17, 16:34, -11.710413
2021-01-24 07:56:23, 25.96, 15.28, 0.00, 334.64, 16:43, -11.697610
2021-01-31 07:46:29, 26.27, 15.50, 0.00, 144.77, 16:50, -11.622610
2021-02-07 07:34:54, 26.55, 15.70, 0.00, 296.60, 16:58, -11.486017
2021-02-14 07:21:59, 26.83, 15.85, 0.00, 115.94, 17:05, -11.288974
2021-02-21 07:07:58, 27.13, 15.96, 0.00, 269.43, 17:11, -11.033213
2021-02-28 06:50:13, 27.44, 16.02, 0.00, 90.61, 17:17, -10.721101
2021-03-07 06:27:42, 27.81, 16.03, 0.00, 245.10, 17:22, -10.355716
2021-03-14 06:04:27, 28.22, 15.98, 0.00, 63.58, 17:26, -9.940941
2021-03-21 05:40:25, 28.68, 15.87, 0.00, 218.23, 17:30, -9.481589
2021-03-28 05:15:30, 29.18, 15.69, 0.00, 28.94, 17:32, -8.983556
2021-04-04 04:49:39, 29.71, 15.45, 0.00, 186.62, 17:34, -8.454007
2021-04-11 04:22:48, 30.26, 15.14, 0.00, 347.56, 17:35, -7.901572
2021-04-18 03:54:56, 30.82, 14.76, 0.00, 153.94, 17:35, -7.336540
2021-04-25 03:26:01, 31.39, 14.31, 0.00, 312.46, 17:33, -6.770989
2021-05-02 02:56:04, 31.94, 13.81, 0.00, 125.87, 17:31, -6.218802
2021-05-09 02:25:08, 32.46, 13.26, 0.00, 286.98, 17:28, -5.695463
2021-05-16 01:53:18, 32.93, 12.69, 0.00, 102.71, 17:23, -5.217560
2021-05-23 01:20:42, 33.34, 12.16, 0.00, 266.15, 17:18, -4.801950
2021-05-30 00:47:33, 33.68, 11.73, 0.00, 81.55, 17:13, -4.464592
2021-06-06 00:14:03, 33.92, 11.55, 0.00, 245.62, 17:07, -4.219206
