Date, Best Altitude, Magnitude, Size, Best Azimith, RA, Dec
2019-11-17 23:34:47, 46.31, 6.87, 0.00, 358.76, 03:12, 8.214197
2019-11-24 23:00:11, 46.16, 7.25, 0.00, 160.65, 03:05, 8.047229
2019-12-01 22:26:15, 46.11, 7.71, 0.00, 330.48, 02:59, 7.986696
2019-12-08 21:53:18, 46.18, 8.18, 0.00, 129.10, 02:53, 8.042571
2019-12-15 21:21:33, 46.37, 8.62, 0.00, 305.14, 02:49, 8.217699
2019-12-22 20:51:09, 46.68, 9.02, 0.00, 103.37, 02:46, 8.508669
2019-12-29 20:22:09, 47.09, 9.37, 0.00, 282.71, 02:45, 8.907321
2020-01-05 19:54:33, 47.59, 9.68, 0.00, 80.11, 02:45, 9.402382
2020-01-12 19:28:17, 48.18, 9.94, 0.00, 260.36, 02:46, 9.980898
2020-01-19 19:03:15, 48.84, 10.16, 0.00, 55.30, 02:49, 10.629312
2020-01-26 18:39:23, 49.54, 10.33, 0.00, 232.94, 02:53, 11.334188
2020-02-02 18:16:35, 50.29, 10.46, 0.00, 25.60, 02:58, 12.082637
2020-02-09 17:54:44, 51.08, 10.55, 0.00, 192.60, 03:03, 12.862537
2020-02-16 17:33:45, 51.88, 10.61, 0.00, 351.62, 03:10, 13.662614
2020-02-23 17:31:52, 52.47, 10.63, 0.00, 143.81, 03:17, 14.472445
2020-03-01 17:44:29, 52.03, 10.63, 0.00, 319.68, 03:25, 15.282421
2020-03-08 17:56:53, 50.63, 10.61, 0.00, 106.48, 03:34, 16.083696
2020-03-15 18:09:04, 48.45, 10.56, 0.00, 292.87, 03:43, 16.868123
2020-03-22 18:21:05, 45.69, 10.49, 0.00, 78.31, 03:53, 17.628208
2020-03-29 18:33:00, 42.50, 10.40, 0.00, 267.87, 04:04, 18.357065
2020-04-05 18:44:52, 39.03, 10.29, 0.00, 51.06, 04:14, 19.048379
2020-04-12 18:56:43, 35.36, 10.17, 0.00, 236.97, 04:26, 19.696387
2020-04-19 19:08:34, 31.58, 10.04, 0.00, 20.07, 04:37, 20.295858
2020-04-26 19:20:22, 27.75, 9.90, 0.00, 185.92, 04:49, 20.842088
2020-05-03 19:32:01, 23.93, 9.74, 0.00, 346.30, 05:01, 21.330898
2020-05-10 19:43:20, 20.19, 9.57, 0.00, 128.87, 05:13, 21.758636
2020-05-17 19:54:07, 16.59, 9.40, 0.00, 315.28, 05:26, 22.122184
2020-05-24 20:04:00, 13.19, 9.21, 0.00, 93.42, 05:39, 22.418964
2020-05-31 20:12:37, 10.05, 9.02, 0.00, 288.52, 05:52, 22.646951
2020-06-07 20:19:35, 7.23, 8.82, 0.00, 66.50, 06:05, 22.804675
2020-06-14 00:00:00, 0.00, 8.62, 0.00, 261.42, 06:18, 22.891234
2020-06-21 00:00:00, 0.00, 8.41, 0.00, 38.72, 06:31, 22.906289
2020-06-28 00:00:00, 0.00, 8.20, 0.00, 222.59, 06:44, 22.850071
