Date, Best Altitude, Magnitude, Size, Best Azimith, RA, Dec
2019-11-17 04:40:14, 52.67, 13.40, 0.00, 288.74, 08:18, 14.552017
2019-11-24 04:17:23, 52.38, 13.11, 0.00, 78.75, 08:22, 14.259843
2019-12-01 03:53:10, 52.19, 12.77, 0.00, 264.44, 08:26, 14.060863
2019-12-08 03:27:29, 52.11, 12.37, 0.00, 55.07, 08:28, 13.975065
2019-12-15 03:00:13, 52.15, 11.91, 0.00, 237.58, 08:28, 14.019968
2019-12-22 02:31:19, 52.34, 11.40, 0.00, 29.11, 08:27, 14.208061
2019-12-29 02:00:51, 52.68, 10.84, 0.00, 202.65, 08:24, 14.543727
2020-01-05 01:28:57, 53.16, 10.24, 0.00, 1.26, 08:19, 15.020284
2020-01-12 00:55:53, 53.75, 9.62, 0.00, 161.03, 08:14, 15.618234
2020-01-19 00:22:05, 54.44, 9.08, 0.00, 334.97, 08:08, 16.305952
2020-01-26 23:48:04, 55.27, 9.26, 0.00, 125.53, 08:01, 17.043403
2020-02-02 23:14:22, 56.01, 9.84, 0.00, 312.23, 07:55, 17.788124
2020-02-09 22:41:33, 56.71, 10.44, 0.00, 99.16, 07:50, 18.501425
2020-02-16 22:10:01, 57.35, 11.02, 0.00, 291.93, 07:46, 19.152682
2020-02-23 21:40:04, 57.91, 11.57, 0.00, 76.95, 07:44, 19.720693
2020-03-01 21:11:52, 58.37, 12.06, 0.00, 271.37, 07:43, 20.192593
2020-03-08 20:45:27, 58.72, 12.49, 0.00, 54.40, 07:44, 20.561585
2020-03-15 20:20:45, 58.97, 12.88, 0.00, 245.69, 07:47, 20.824644
2020-03-22 19:57:40, 59.12, 13.20, 0.00, 28.21, 07:52, 20.980786
2020-03-29 19:36:02, 59.15, 13.48, 0.00, 204.19, 07:58, 21.030025
2020-04-05 19:15:41, 59.08, 13.71, 0.00, 357.53, 08:05, 20.972889
2020-04-12 18:56:43, 58.91, 13.89, 0.00, 147.36, 08:13, 20.810267
2020-04-19 19:08:34, 58.01, 14.04, 0.00, 326.09, 08:23, 20.543444
2020-04-26 19:20:22, 56.06, 14.15, 0.00, 107.42, 08:33, 20.174183
2020-05-03 19:32:01, 53.29, 14.22, 0.00, 297.67, 08:44, 19.704815
2020-05-10 19:43:20, 49.96, 14.27, 0.00, 80.10, 08:55, 19.138294
2020-05-17 19:54:07, 46.24, 14.30, 0.00, 270.59, 09:07, 18.478215
2020-05-24 20:04:00, 42.33, 14.30, 0.00, 54.16, 09:19, 17.728797
2020-05-31 20:12:37, 38.38, 14.29, 0.00, 237.77, 09:31, 16.894832
2020-06-07 20:19:35, 34.51, 14.25, 0.00, 23.44, 09:44, 15.981626
2020-06-14 20:24:29, 30.84, 14.20, 0.00, 188.62, 09:57, 14.994916
2020-06-21 20:27:03, 27.44, 14.14, 0.00, 347.02, 10:10, 13.940789
2020-06-28 20:27:04, 24.36, 14.06, 0.00, 137.32, 10:23, 12.825606
2020-07-05 20:24:29, 21.63, 13.97, 0.00, 311.68, 10:36, 11.655923
2020-07-12 20:19:26, 19.24, 13.87, 0.00, 103.31, 10:49, 10.438426
2020-07-19 20:12:05, 17.17, 13.75, 0.00, 281.15, 11:02, 9.179874
2020-07-26 20:02:42, 15.38, 13.63, 0.00, 76.74, 11:15, 7.887053
2020-08-02 19:51:35, 13.84, 13.50, 0.00, 250.99, 11:28, 6.566734
2020-08-09 19:39:02, 12.50, 13.36, 0.00, 48.06, 11:42, 5.225648
2020-08-16 19:25:18, 11.33, 13.22, 0.00, 213.63, 11:55, 3.870461
2020-08-23 19:10:39, 10.29, 13.07, 0.00, 10.43, 12:08, 2.507757
2020-08-30 18:55:18, 9.36, 12.91, 0.00, 168.21, 12:21, 1.144029
2020-09-06 18:39:26, 8.51, 12.74, 0.00, 327.13, 12:34, -0.214333
2020-09-13 18:23:16, 7.71, 12.57, 0.00, 129.44, 12:47, -1.561048
2020-09-20 18:06:57, 6.95, 12.40, 0.00, 290.72, 13:01, -2.889959
2020-09-27 17:50:40, 6.20, 12.22, 0.00, 100.47, 13:14, -4.195037
2020-10-04 17:34:34, 5.46, 12.04, 0.00, 260.57, 13:27, -5.470400
2020-10-11 00:00:00, 0.00, 11.86, 0.00, 73.65, 13:40, -6.710327
2020-10-18 00:00:00, 0.00, 11.70, 0.00, 229.48, 13:53, -7.909288
2020-10-25 00:00:00, 0.00, 11.60, 0.00, 39.59, 14:07, -9.061970
2020-11-01 00:00:00, 0.00, 11.68, 0.00, 192.64, 14:20, -10.163313
2020-11-08 07:14:06, 6.87, 11.87, 0.00, 350.52, 14:33, -11.208554
2020-11-15 07:26:23, 9.54, 12.08, 0.00, 154.43, 14:46, -12.193274
2020-11-22 07:38:07, 11.94, 12.30, 0.00, 303.62, 15:00, -13.113454
2020-11-29 07:48:54, 14.01, 12.52, 0.00, 122.70, 15:13, -13.965526
2020-12-06 07:58:15, 15.71, 12.73, 0.00, 270.71, 15:26, -14.746441
2020-12-13 08:05:42, 17.03, 12.93, 0.00, 95.97, 15:39, -15.453723
2020-12-20 08:10:48, 17.97, 13.13, 0.00, 242.60, 15:52, -16.085528
2020-12-27 08:13:17, 18.59, 13.31, 0.00, 67.17, 16:05, -16.640699
2021-01-03 08:12:58, 18.97, 13.49, 0.00, 212.06, 16:17, -17.118817
2021-01-10 08:09:55, 19.16, 13.66, 0.00, 24.42, 16:30, -17.520232
2021-01-17 08:04:18, 19.25, 13.81, 0.00, 177.42, 16:42, -17.846103
2021-01-24 07:56:23, 19.28, 13.94, 0.00, 327.70, 16:53, -18.098411
2021-01-31 07:46:29, 19.30, 14.06, 0.00, 144.01, 17:05, -18.279968
2021-02-07 07:34:54, 19.32, 14.17, 0.00, 287.39, 17:16, -18.394417
2021-02-14 07:21:59, 19.37, 14.25, 0.00, 115.84, 17:26, -18.446218
2021-02-21 07:07:58, 19.46, 14.31, 0.00, 259.78, 17:36, -18.440620
2021-02-28 06:53:08, 19.58, 14.35, 0.00, 90.21, 17:45, -18.383635
2021-03-07 06:37:40, 19.74, 14.36, 0.00, 234.30, 17:53, -18.281989
2021-03-14 06:21:48, 19.93, 14.35, 0.00, 60.56, 18:01, -18.143071
2021-03-21 06:05:42, 20.14, 14.30, 0.00, 205.93, 18:08, -17.974862
2021-03-28 05:49:34, 20.37, 14.22, 0.00, 17.19, 18:14, -17.785839
2021-04-04 05:33:32, 20.58, 14.11, 0.00, 174.54, 18:19, -17.584858
2021-04-11 05:10:35, 20.79, 13.95, 0.00, 326.89, 18:23, -17.380983
2021-04-18 04:45:34, 20.98, 13.76, 0.00, 144.81, 18:25, -17.183265
2021-04-25 04:19:17, 21.16, 13.52, 0.00, 291.97, 18:26, -17.000453
