Date, Best Altitude, Magnitude, Size, Best Azimith, RA, Dec
2019-11-17 16:11:46, 10.01, -1.66, 32.43, 144.20, 17:44, -23.228015
2019-12-17 00:00:00, 0.00, -1.67, 31.64, 129.80, 18:13, -23.285897
2020-01-16 08:05:56, 5.31, -1.67, 31.84, 116.00, 18:44, -22.983841
2020-02-15 07:21:31, 9.99, -1.70, 33.05, 102.74, 19:12, -22.374158
2020-03-16 06:16:40, 12.88, -1.80, 35.27, 89.86, 19:36, -21.632823
2020-04-15 05:08:31, 15.39, -1.98, 38.48, 77.44, 19:52, -21.025361
2020-05-15 04:12:05, 17.24, -2.21, 42.33, 66.06, 19:58, -20.827931
2020-06-14 02:26:51, 17.00, -2.44, 45.83, 56.61, 19:52, -21.169194
2020-07-14 00:14:08, 16.32, -2.60, 47.42, 48.86, 19:38, -21.851077
2020-08-13 22:00:53, 15.71, -2.47, 46.14, 40.17, 19:23, -22.448284
2020-09-12 19:55:57, 15.48, -2.25, 42.81, 26.59, 19:16, -22.693492
2020-10-12 18:02:56, 15.64, -2.04, 39.02, 5.53, 19:21, -22.546830
2020-11-11 16:20:34, 16.19, -1.87, 35.84, 339.31, 19:37, -21.996311
2020-12-11 15:53:35, 15.60, -1.78, 33.65, 314.89, 20:01, -21.006339
2021-01-10 16:15:47, 8.32, -1.77, 32.51, 295.73, 20:28, -19.578008
2021-02-09 00:00:00, 0.00, -1.78, 32.42, 280.76, 20:57, -17.795814
2021-03-11 06:28:38, 6.77, -1.79, 33.35, 268.20, 21:24, -15.836582
2021-04-10 05:20:02, 11.44, -1.87, 35.31, 256.87, 21:48, -13.956290
2021-05-10 04:20:19, 17.15, -2.02, 38.31, 246.19, 22:06, -12.469135
2021-06-09 03:48:05, 24.00, -2.24, 42.13, 236.15, 22:16, -11.708815
2021-07-09 03:12:13, 26.23, -2.48, 46.08, 227.19, 22:15, -11.915261
2021-08-08 01:03:37, 25.17, -2.68, 48.65, 219.61, 22:05, -12.984621
2021-09-07 22:51:10, 23.83, -2.65, 48.36, 212.68, 21:51, -14.286425
2021-10-07 20:43:49, 23.12, -2.44, 45.39, 204.58, 21:42, -15.028960
2021-11-06 18:47:07, 23.35, -2.21, 41.36, 193.75, 21:43, -14.826236
2021-12-06 17:01:07, 24.49, -2.02, 37.69, 179.73, 21:55, -13.698507
2022-01-05 16:08:49, 25.54, -1.90, 35.00, 163.12, 22:16, -11.819545
2022-02-04 16:57:48, 16.47, -1.85, 33.40, 145.31, 22:40, -9.405989
2022-03-06 00:00:00, 0.00, -1.88, 32.88, 127.85, 23:07, -6.698697
2022-04-05 00:00:00, 0.00, -1.86, 33.38, 111.64, 23:33, -3.955418
2022-05-05 04:29:22, 10.91, -1.90, 34.92, 96.93, 23:57, -1.443333
2022-06-04 03:50:48, 21.09, -2.02, 37.51, 83.71, 00:17, 0.562232
2022-07-04 03:54:07, 34.70, -2.21, 41.10, 72.10, 00:29, 1.778361
2022-08-03 03:51:46, 40.09, -2.45, 45.23, 62.56, 00:32, 1.952577
2022-09-02 01:46:09, 39.17, -2.67, 48.67, 55.40, 00:25, 1.031361
2022-10-02 23:33:52, 37.55, -2.77, 49.60, 49.66, 00:11, -0.526364
2022-11-01 21:23:30, 36.35, -2.59, 47.37, 42.75, 23:59, -1.762297
2022-12-01 19:22:31, 36.23, -2.34, 43.33, 32.05, 23:56, -1.914983
2022-12-31 17:32:36, 37.31, -2.12, 39.28, 16.71, 00:05, -0.862449
2023-01-30 16:48:12, 37.83, -1.97, 36.11, 358.10, 00:22, 1.121986
2023-03-01 17:43:11, 25.39, -1.89, 34.06, 339.01, 00:45, 3.671008
2023-03-31 18:35:09, 6.33, -1.88, 33.08, 321.69, 01:11, 6.442551
2023-04-30 00:00:00, 0.00, -1.87, 33.12, 306.79, 01:38, 9.147931
2023-05-30 03:54:53, 11.28, -1.88, 34.16, 293.92, 02:05, 11.553451
2023-06-29 03:50:22, 26.62, -1.96, 36.21, 282.45, 02:28, 13.473366
2023-07-29 04:24:13, 45.78, -2.12, 39.29, 271.95, 02:45, 14.758191
2023-08-28 04:35:46, 53.41, -2.33, 43.20, 262.35, 02:54, 15.283393
2023-09-27 02:34:28, 53.10, -2.56, 47.09, 253.94, 02:51, 14.971657
2023-10-27 00:23:05, 52.08, -2.74, 49.26, 246.71, 02:38, 13.945865
2023-11-26 22:09:22, 50.86, -2.65, 48.24, 239.51, 02:22, 12.768684
2023-12-26 20:02:56, 50.35, -2.41, 44.67, 230.26, 02:14, 12.225154
2024-01-25 18:08:09, 50.83, -2.17, 40.44, 217.01, 02:18, 12.682046
2024-02-24 17:33:44, 49.47, -1.98, 36.86, 198.13, 02:32, 13.974858
2024-03-25 18:26:15, 33.51, -1.87, 34.37, 173.34, 02:53, 15.730353
2024-04-24 19:17:03, 13.25, -1.83, 32.97, 146.33, 03:20, 17.592117
2024-05-24 00:00:00, 0.00, -1.84, 32.59, 122.64, 03:49, 19.291565
2024-06-23 03:47:52, 12.00, -1.81, 33.17, 103.92, 04:17, 20.657480
2024-07-23 04:16:38, 30.98, -1.86, 34.74, 89.02, 04:44, 21.612732
2024-08-22 05:03:17, 51.83, -1.98, 37.30, 76.67, 05:06, 22.168913
2024-09-21 05:23:51, 60.54, -2.16, 40.78, 66.37, 05:20, 22.408463
2024-10-21 03:27:34, 60.56, -2.39, 44.65, 58.22, 05:22, 22.430441
2024-11-20 01:19:05, 60.40, -2.59, 47.53, 52.28, 05:11, 22.272108
2024-12-20 23:04:11, 60.06, -2.61, 47.71, 47.51, 04:55, 21.960066
2025-01-19 20:53:32, 59.83, -2.40, 44.98, 41.67, 04:42, 21.709798
2025-02-18 18:54:22, 59.92, -2.16, 40.96, 32.94, 04:41, 21.789772
2025-03-20 18:17:17, 57.20, -1.95, 37.22, 20.98, 04:53, 22.204026
2025-04-19 19:08:13, 38.88, -1.80, 34.42, 6.42, 05:13, 22.737133
2025-05-19 19:56:44, 17.70, -1.73, 32.67, 350.42, 05:39, 23.147995
2025-06-18 00:00:00, 0.00, -1.74, 31.92, 334.28, 06:07, 23.273898
2025-07-18 04:09:33, 11.02, -1.71, 32.12, 318.98, 06:37, 23.058885
2025-08-17 04:54:50, 31.11, -1.73, 33.27, 305.03, 07:04, 22.556346
2025-09-16 05:43:13, 51.28, -1.82, 35.41, 292.56, 07:26, 21.925609
2025-10-16 06:08:16, 59.54, -1.98, 38.51, 281.75, 07:42, 21.415723
