Date, Best Altitude, Magnitude, Size, Best Azimith, RA, Dec
2019-11-17 07:28:31, 18.95, 1.76, 3.80, 202.25, 13:46, -10.255748
2019-12-17 08:08:23, 19.16, 1.66, 4.09, 170.47, 15:04, -16.808734
2020-01-16 08:05:56, 15.91, 1.49, 4.51, 142.41, 16:27, -21.523139
2020-02-15 07:21:31, 13.39, 1.26, 5.10, 117.72, 17:55, -23.614357
2020-03-16 06:16:40, 12.54, 0.97, 5.89, 92.65, 19:25, -22.648839
2020-04-15 05:08:31, 13.49, 0.63, 6.93, 60.80, 20:53, -18.802545
2020-05-15 04:12:05, 17.09, 0.24, 8.30, 16.92, 22:15, -12.854318
2020-06-14 03:46:46, 25.05, -0.21, 10.13, 335.35, 23:31, -5.973306
2020-07-14 04:04:49, 36.59, -0.72, 12.62, 308.03, 00:39, 0.488333
2020-08-13 04:08:45, 43.32, -1.34, 16.12, 290.12, 01:31, 5.160397
2020-09-12 02:29:55, 45.00, -2.07, 20.51, 279.02, 01:50, 6.861160
2020-10-12 00:06:06, 43.70, -2.61, 22.44, 275.13, 01:24, 5.567872
2020-11-11 21:40:54, 43.19, -1.80, 18.23, 271.97, 00:58, 5.025547
2020-12-11 19:56:23, 46.22, -0.81, 13.03, 262.90, 01:11, 7.967632
2021-01-10 18:41:57, 51.21, -0.01, 9.54, 247.89, 01:55, 12.938862
2021-02-09 17:44:08, 56.42, 0.60, 7.37, 223.69, 02:56, 18.173960
2021-03-11 18:01:42, 57.95, 1.06, 5.99, 180.01, 04:06, 22.387301
2021-04-10 18:52:55, 49.55, 1.39, 5.08, 128.98, 05:24, 24.661571
2021-05-10 19:42:57, 36.34, 1.63, 4.47, 97.39, 06:44, 24.477668
2021-06-09 20:21:01, 22.40, 1.77, 4.06, 76.06, 08:03, 21.776238
2021-07-09 20:22:04, 12.03, 1.84, 3.79, 56.61, 09:19, 16.891520
2021-08-08 19:41:21, 6.21, 1.84, 3.63, 34.29, 10:31, 10.374122
2021-09-07 00:00:00, 0.00, 1.78, 3.56, 5.02, 11:42, 2.844515
2021-10-07 00:00:00, 0.00, 1.66, 3.56, 328.44, 12:53, -5.045464
2021-11-06 07:10:07, 7.30, 1.66, 3.64, 292.67, 14:08, -12.566096
2021-12-06 07:57:57, 11.46, 1.62, 3.80, 262.78, 15:30, -18.843344
2022-01-05 08:12:27, 11.30, 1.53, 4.03, 235.77, 16:58, -22.872259
2022-02-04 07:40:27, 9.94, 1.40, 4.36, 207.43, 18:33, -23.741955
2022-03-06 06:40:27, 9.39, 1.24, 4.76, 175.63, 20:08, -21.063022
2022-04-05 05:31:49, 10.19, 1.05, 5.25, 142.23, 21:40, -15.245916
2022-05-05 04:29:22, 13.11, 0.86, 5.83, 110.53, 23:07, -7.339446
2022-06-04 03:50:48, 19.90, 0.66, 6.49, 80.62, 00:30, 1.336836
2022-07-04 03:54:07, 32.28, 0.45, 7.30, 50.32, 01:50, 9.469837
2022-08-03 04:32:10, 47.38, 0.20, 8.35, 19.15, 03:09, 15.963884
2022-09-02 05:20:12, 58.08, -0.13, 9.82, 350.37, 04:22, 20.220095
2022-10-02 04:40:58, 60.62, -0.59, 12.02, 328.14, 05:18, 22.478012
2022-11-01 03:04:56, 62.00, -1.22, 15.10, 315.36, 05:40, 23.872653
2022-12-01 00:36:48, 63.08, -1.81, 17.19, 313.60, 05:10, 24.957990
2022-12-31 21:55:56, 62.70, -1.24, 14.79, 313.67, 04:28, 24.606311
2023-01-30 20:00:29, 62.77, -0.31, 10.91, 305.13, 04:31, 24.628390
2023-03-01 18:42:51, 63.53, 0.43, 8.18, 290.50, 05:11, 25.391168
2023-03-31 18:35:09, 61.83, 0.96, 6.48, 271.83, 06:12, 25.486537
2023-04-30 19:25:50, 49.80, 1.33, 5.41, 245.93, 07:21, 23.921530
2023-05-30 20:10:38, 33.71, 1.58, 4.72, 205.32, 08:32, 20.366150
2023-06-29 20:27:01, 19.76, 1.72, 4.26, 158.82, 09:43, 14.975547
2023-07-29 19:59:16, 11.24, 1.78, 3.96, 127.44, 10:52, 8.172673
2023-08-28 19:01:21, 6.65, 1.77, 3.78, 106.64, 12:02, 0.503219
2023-09-27 00:00:00, 0.00, 1.69, 3.69, 89.01, 13:13, -7.396813
2023-10-27 00:00:00, 0.00, 1.56, 3.67, 69.01, 14:30, -14.749367
2023-11-26 00:00:00, 0.00, 1.44, 3.72, 36.61, 15:55, -20.571080
2023-12-26 00:00:00, 0.00, 1.41, 3.83, 337.63, 17:28, -23.735775
2024-01-25 07:56:01, 5.24, 1.35, 3.99, 290.62, 19:06, -23.328761
2024-02-24 07:03:14, 5.48, 1.29, 4.19, 264.49, 20:43, -19.178125
2024-03-25 05:55:51, 6.32, 1.21, 4.42, 243.17, 22:16, -12.030910
2024-04-24 04:49:31, 8.49, 1.14, 4.67, 218.36, 23:43, -3.196309
2024-05-24 04:00:14, 13.33, 1.08, 4.95, 182.45, 01:07, 5.889261
2024-06-23 03:47:52, 22.81, 1.02, 5.28, 136.93, 02:32, 13.899376
2024-07-23 04:16:38, 36.62, 0.93, 5.70, 99.92, 03:58, 19.765936
2024-08-22 05:03:17, 50.38, 0.81, 6.29, 73.19, 05:22, 22.891603
2024-09-21 05:51:42, 59.77, 0.60, 7.16, 50.39, 06:41, 23.402372
2024-10-21 05:51:54, 60.37, 0.27, 8.51, 28.55, 07:46, 22.257905
2024-11-20 04:36:11, 59.31, -0.25, 10.62, 9.20, 08:28, 21.189050
2024-12-20 02:41:59, 60.46, -0.92, 13.39, 358.18, 08:33, 22.327063
2025-01-19 00:02:10, 63.48, -1.34, 14.47, 358.29, 07:51, 25.357685
2025-02-18 21:29:24, 64.26, -0.58, 12.01, 356.74, 07:17, 26.161218
2025-03-20 19:43:18, 62.94, 0.20, 9.11, 344.34, 07:29, 24.873086
2025-04-19 19:08:13, 59.22, 0.78, 7.15, 324.77, 08:12, 22.263287
2025-05-19 19:56:44, 44.94, 1.17, 5.91, 302.45, 09:09, 18.128552
2025-06-18 20:26:11, 28.44, 1.42, 5.11, 278.92, 10:11, 12.458667
