Date, Best Altitude, Magnitude, Size, Best Azimith, RA, Dec
2019-11-17 07:28:31, 9.39, 1.87, 9.20, 186.39, 14:44, -14.168424
2019-11-24 07:40:07, 14.52, -0.24, 7.55, 347.40, 14:43, -13.218618
2019-12-01 07:50:41, 13.91, -0.58, 6.32, 150.79, 15:07, -15.297334
2019-12-08 07:59:44, 11.15, -0.63, 5.58, 289.33, 15:44, -18.296676
2019-12-15 08:06:47, 7.92, -0.65, 5.14, 112.94, 16:26, -21.096916
2019-12-22 00:00:00, 0.00, -0.70, 4.87, 245.71, 17:11, -23.220073
2019-12-29 00:00:00, 0.00, -0.83, 4.73, 74.50, 17:58, -24.432715
2020-01-05 00:00:00, 0.00, -1.03, 4.68, 202.44, 18:47, -24.589548
2020-01-12 00:00:00, 0.00, -1.22, 4.73, 355.32, 19:36, -23.583913
2020-01-19 00:00:00, 0.00, -1.20, 4.88, 152.22, 20:26, -21.341319
2020-01-26 16:40:33, 6.34, -1.15, 5.19, 286.34, 21:15, -17.849845
2020-02-02 16:53:11, 10.88, -1.04, 5.76, 104.72, 22:00, -13.283032
2020-02-09 17:06:06, 14.38, -0.70, 6.78, 252.93, 22:37, -8.347699
2020-02-16 17:19:03, 13.55, 0.42, 8.41, 65.25, 22:53, -4.745618
2020-02-23 17:31:52, 5.47, 4.23, 10.14, 229.57, 22:40, -4.505976
2020-03-01 00:00:00, 0.00, 4.00, 10.68, 48.03, 22:14, -7.286678
2020-03-08 06:34:53, 6.29, 1.29, 9.88, 208.80, 21:59, -10.130061
2020-03-15 06:18:57, 6.09, 0.51, 8.72, 16.03, 22:05, -11.341371
2020-03-22 06:02:50, 5.27, 0.26, 7.70, 170.38, 22:25, -10.859083
2020-03-29 00:00:00, 0.00, 0.12, 6.90, 318.90, 22:54, -8.961694
2020-04-05 00:00:00, 0.00, -0.04, 6.28, 123.41, 23:29, -5.881647
2020-04-12 00:00:00, 0.00, -0.28, 5.79, 278.59, 00:08, -1.790911
2020-04-19 00:00:00, 0.00, -0.66, 5.42, 77.82, 00:51, 3.159196
2020-04-26 00:00:00, 0.00, -1.22, 5.17, 242.41, 01:39, 8.769797
2020-05-03 00:00:00, 0.00, -2.01, 5.08, 23.49, 02:34, 14.647967
2020-05-10 00:00:00, 0.00, -1.81, 5.22, 168.31, 03:33, 19.995400
