Date, Best Altitude, Magnitude, Size, Best Azimith, RA, Dec
2019-11-17 19:32:10, 31.65, 7.83, 2.31, 69.16, 23:10, -6.493727
2019-12-17 17:34:10, 31.69, 7.87, 2.27, 59.56, 23:10, -6.450656
2020-01-16 16:23:41, 31.02, 7.90, 2.24, 48.41, 23:12, -6.216506
2020-02-15 17:17:12, 16.29, 7.92, 2.22, 35.55, 23:15, -5.840649
2020-03-16 00:00:00, 0.00, 7.93, 2.21, 21.19, 23:20, -5.403240
2020-04-15 05:08:31, 7.47, 7.92, 2.22, 5.99, 23:24, -4.994139
2020-05-15 04:12:05, 15.93, 7.89, 2.25, 350.95, 23:27, -4.694703
2020-06-14 03:46:46, 26.69, 7.86, 2.29, 336.93, 23:28, -4.562960
2020-07-14 04:04:05, 33.52, 7.82, 2.33, 324.36, 23:28, -4.620714
2020-08-13 02:03:54, 33.30, 7.79, 2.35, 313.21, 23:26, -4.843503
2020-09-12 00:02:45, 32.98, 7.78, 2.36, 303.21, 23:23, -5.159350
2020-10-12 22:01:35, 32.67, 7.80, 2.35, 294.02, 23:20, -5.464203
2020-11-11 20:01:25, 32.48, 7.82, 2.32, 285.33, 23:18, -5.654067
2020-12-11 18:02:57, 32.48, 7.86, 2.29, 276.88, 23:18, -5.660025
2021-01-10 16:15:47, 32.62, 7.90, 2.25, 268.48, 23:20, -5.468211
2021-02-09 17:07:30, 21.55, 7.92, 2.22, 259.95, 23:23, -5.117924
2021-03-11 00:00:00, 0.00, 7.93, 2.21, 251.12, 23:27, -4.684525
2021-04-10 05:20:02, 5.65, 7.92, 2.22, 241.84, 23:31, -4.257851
2021-05-10 04:20:19, 13.83, 7.90, 2.25, 232.00, 23:34, -3.923046
2021-06-09 03:48:05, 24.60, 7.86, 2.28, 221.56, 23:36, -3.745206
2021-07-09 03:58:59, 33.93, 7.83, 2.32, 210.62, 23:36, -3.756278
2021-08-08 02:33:30, 34.20, 7.80, 2.35, 199.35, 23:35, -3.943954
2021-09-07 00:32:31, 33.90, 7.78, 2.36, 187.92, 23:32, -4.247231
2021-10-07 22:31:15, 33.56, 7.79, 2.36, 176.43, 23:29, -4.566977
2021-11-06 20:30:46, 33.34, 7.81, 2.33, 164.91, 23:27, -4.794819
2021-12-06 18:31:49, 33.29, 7.85, 2.30, 153.37, 23:26, -4.849762
2022-01-05 16:34:46, 33.44, 7.89, 2.26, 141.95, 23:27, -4.703616
2022-02-04 16:57:48, 26.29, 7.91, 2.23, 130.85, 23:30, -4.384271
2022-03-06 00:00:00, 0.00, 7.93, 2.21, 120.27, 23:34, -3.960906
2022-04-05 00:00:00, 0.00, 7.92, 2.22, 110.32, 23:38, -3.522210
