Date, Best Altitude, Magnitude, Size, Best Azimith, RA, Dec
2019-11-17 16:11:46, 15.68, 14.33, 0.10, 122.25, 19:31, -22.363008
2019-12-17 15:54:00, 11.59, 14.35, 0.10, 113.77, 19:35, -22.276938
2020-01-16 00:00:00, 0.00, 14.36, 0.10, 105.27, 19:39, -22.158508
2020-02-15 07:21:31, 7.57, 14.36, 0.10, 96.72, 19:43, -22.041664
2020-03-16 06:16:40, 11.85, 14.33, 0.10, 88.03, 19:46, -21.963317
2020-04-15 05:08:31, 14.67, 14.31, 0.10, 79.08, 19:48, -21.952938
2020-05-15 04:12:05, 16.13, 14.28, 0.10, 69.63, 19:48, -22.021971
2020-06-14 02:20:24, 16.02, 14.26, 0.10, 59.30, 19:46, -22.158051
2020-07-14 00:19:16, 15.85, 14.25, 0.10, 47.55, 19:43, -22.328029
2020-08-13 22:18:04, 15.68, 14.26, 0.10, 33.64, 19:40, -22.489513
2020-09-12 20:17:45, 15.57, 14.28, 0.10, 16.99, 19:38, -22.605139
2020-10-12 18:19:03, 15.52, 14.32, 0.10, 357.94, 19:37, -22.652259
2020-11-11 16:22:13, 15.55, 14.35, 0.10, 338.29, 19:39, -22.625617
2020-12-11 15:53:35, 13.14, 14.38, 0.10, 320.31, 19:42, -22.535998
2021-01-10 00:00:00, 0.00, 14.39, 0.10, 305.13, 19:46, -22.408028
2021-02-09 07:31:20, 5.58, 14.39, 0.10, 292.59, 19:50, -22.276827
2021-03-11 06:28:38, 10.42, 14.37, 0.10, 282.07, 19:54, -22.181439
2021-04-10 05:20:02, 13.63, 14.34, 0.10, 272.96, 19:56, -22.154651
2021-05-10 04:20:19, 15.70, 14.32, 0.10, 264.80, 19:56, -22.211959
2021-06-09 02:49:47, 15.83, 14.29, 0.10, 257.24, 19:54, -22.344426
2021-07-09 00:48:50, 15.66, 14.28, 0.10, 249.99, 19:52, -22.519925
2021-08-08 22:47:35, 15.47, 14.29, 0.10, 242.77, 19:49, -22.693735
2021-09-07 20:46:59, 15.35, 14.31, 0.10, 235.29, 19:46, -22.823765
2021-10-07 18:47:52, 15.29, 14.34, 0.10, 227.31, 19:46, -22.882549
2021-11-06 16:50:34, 15.32, 14.38, 0.10, 218.62, 19:47, -22.861707
2021-12-06 15:54:45, 14.18, 14.40, 0.10, 209.13, 19:49, -22.770854
2022-01-05 00:00:00, 0.00, 14.42, 0.10, 198.92, 19:53, -22.634758
2022-02-04 00:00:00, 0.00, 14.42, 0.10, 188.22, 19:57, -22.489572
2022-03-06 06:40:27, 8.89, 14.41, 0.10, 177.44, 20:01, -22.376394
2022-04-05 05:31:49, 12.49, 14.38, 0.10, 167.00, 20:03, -22.331334
2022-05-05 04:29:22, 15.05, 14.35, 0.10, 157.23, 20:04, -22.374185
2022-06-04 03:19:00, 15.68, 14.33, 0.10, 148.24, 20:03, -22.500081
2022-07-04 01:18:17, 15.50, 14.31, 0.10, 139.97, 20:01, -22.678882
2022-08-03 23:17:02, 15.30, 14.32, 0.10, 132.21, 19:58, -22.864411
2022-09-02 21:16:13, 15.16, 14.33, 0.10, 124.68, 19:55, -23.010087
2022-10-02 19:16:41, 15.09, 14.36, 0.10, 117.14, 19:54, -23.083091
2022-11-01 17:18:57, 15.11, 14.40, 0.10, 109.40, 19:54, -23.071019
2022-12-01 15:57:26, 14.76, 14.43, 0.10, 101.31, 19:57, -22.981547
2022-12-31 16:02:57, 7.87, 14.45, 0.10, 92.73, 20:00, -22.839148
2023-01-30 00:00:00, 0.00, 14.45, 0.10, 83.50, 20:04, -22.680792
2023-03-01 06:52:00, 7.25, 14.44, 0.10, 73.42, 20:08, -22.549503
2023-03-31 05:43:47, 11.25, 14.42, 0.10, 62.20, 20:11, -22.484664
2023-04-30 04:39:09, 14.23, 14.39, 0.10, 49.49, 20:12, -22.510510
2023-05-30 03:48:02, 15.55, 14.36, 0.10, 34.98, 20:11, -22.626768
2023-06-29 01:47:36, 15.37, 14.35, 0.10, 18.56, 20:09, -22.806218
2023-07-29 23:46:24, 15.16, 14.35, 0.10, 0.68, 20:06, -23.002215
2023-08-28 21:45:25, 15.01, 14.36, 0.10, 342.49, 20:04, -23.164182
2023-09-27 19:45:32, 14.92, 14.39, 0.10, 325.41, 20:02, -23.253629
2023-10-27 17:47:20, 14.92, 14.42, 0.10, 310.31, 20:02, -23.253286
