Date, Best Altitude, Magnitude, Size, Best Azimith, RA, Dec
2019-11-17 16:11:46, 15.52, 0.50, 15.59, 125.36, 19:15, -22.228389
2019-12-17 15:54:00, 11.41, 0.47, 15.15, 114.98, 19:27, -21.880777
2020-01-16 00:00:00, 0.00, 0.40, 15.01, 104.39, 19:41, -21.396705
2020-02-15 07:21:31, 7.50, 0.49, 15.19, 93.67, 19:54, -20.848578
2020-03-16 06:16:40, 11.85, 0.51, 15.68, 82.81, 20:06, -20.349157
2020-04-15 05:08:31, 15.24, 0.46, 16.42, 71.90, 20:13, -20.028006
2020-05-15 04:12:05, 17.79, 0.33, 17.26, 61.09, 20:14, -19.986788
2020-06-14 02:44:38, 17.93, 0.17, 17.99, 50.49, 20:10, -20.240406
2020-07-14 00:38:15, 17.49, 0.01, 18.36, 39.69, 20:02, -20.679336
2020-08-13 22:31:22, 17.04, 0.11, 18.21, 27.43, 19:53, -21.111006
2020-09-12 20:27:51, 16.80, 0.29, 17.61, 12.04, 19:48, -21.367148
2020-10-12 18:30:08, 16.81, 0.45, 16.79, 352.93, 19:49, -21.365984
2020-11-11 16:38:36, 17.09, 0.54, 16.01, 332.18, 19:55, -21.090883
2020-12-11 15:53:35, 16.29, 0.56, 15.42, 313.10, 20:07, -20.558648
2021-01-10 16:15:47, 7.38, 0.51, 15.11, 297.22, 20:22, -19.818391
2021-02-09 00:00:00, 0.00, 0.52, 15.12, 284.19, 20:37, -18.962757
2021-03-11 06:28:38, 8.66, 0.59, 15.43, 273.18, 20:51, -18.128961
2021-04-10 05:20:02, 13.19, 0.58, 16.03, 263.52, 21:01, -17.482371
2021-05-10 04:20:19, 17.68, 0.50, 16.83, 254.85, 21:07, -17.181429
2021-06-09 03:48:05, 20.79, 0.36, 17.68, 247.03, 21:06, -17.320318
2021-07-09 01:56:30, 20.30, 0.19, 18.31, 239.95, 20:59, -17.857050
2021-08-08 23:48:20, 19.55, 0.09, 18.49, 233.28, 20:50, -18.582140
2021-09-07 21:40:45, 18.94, 0.27, 18.12, 226.37, 20:40, -19.204591
2021-10-07 19:37:32, 18.65, 0.44, 17.37, 218.44, 20:35, -19.506770
2021-11-06 17:40:37, 18.76, 0.57, 16.52, 208.88, 20:37, -19.410198
2021-12-06 15:54:45, 19.23, 0.63, 15.79, 197.44, 20:44, -18.933344
2022-01-05 16:08:49, 14.72, 0.62, 15.33, 184.32, 20:56, -18.143624
2022-02-04 00:00:00, 0.00, 0.54, 15.17, 170.16, 21:10, -17.143881
2022-03-06 06:40:27, 5.40, 0.64, 15.33, 155.97, 21:25, -16.072039
2022-04-05 05:31:49, 10.62, 0.68, 15.80, 142.70, 21:38, -15.094187
2022-05-05 04:29:22, 16.12, 0.65, 16.51, 131.04, 21:47, -14.385005
2022-06-04 03:50:48, 22.02, 0.55, 17.35, 121.26, 21:52, -14.091079
2022-07-04 03:08:29, 23.88, 0.40, 18.13, 113.27, 21:51, -14.271212
2022-08-03 01:04:39, 23.33, 0.24, 18.60, 106.66, 21:45, -14.829314
2022-09-02 22:58:50, 22.63, 0.28, 18.57, 100.63, 21:38, -15.507048
2022-10-02 20:54:38, 22.15, 0.47, 18.02, 94.16, 21:32, -15.996481
2022-11-01 18:54:56, 22.07, 0.64, 17.20, 86.38, 21:30, -16.092104
2022-12-01 17:00:38, 22.43, 0.75, 16.36, 76.68, 21:34, -15.742424
2022-12-31 16:02:57, 22.14, 0.78, 15.71, 64.62, 21:43, -15.007747
2023-01-30 16:48:12, 10.58, 0.73, 15.35, 49.80, 21:55, -14.010204
2023-03-01 00:00:00, 0.00, 0.72, 15.32, 32.23, 22:07, -12.906515
2023-03-31 05:43:47, 7.18, 0.80, 15.61, 12.89, 22:19, -11.872391
2023-04-30 04:39:09, 13.47, 0.80, 16.21, 353.88, 22:28, -11.086918
2023-05-30 03:54:53, 21.10, 0.73, 17.03, 337.15, 22:33, -10.708149
2023-06-29 03:50:22, 27.17, 0.59, 17.91, 323.35, 22:33, -10.827705
2023-07-29 02:08:18, 26.75, 0.42, 18.60, 312.06, 22:28, -11.401188
2023-08-28 00:02:19, 25.95, 0.29, 18.85, 302.40, 22:20, -12.199444
2023-09-27 21:56:56, 25.26, 0.48, 18.55, 293.47, 22:13, -12.872141
2023-10-27 19:55:32, 25.03, 0.67, 17.82, 284.64, 22:10, -13.120461
2023-11-26 17:59:55, 25.35, 0.82, 16.95, 275.65, 22:13, -12.818941
2023-12-26 16:09:47, 26.17, 0.91, 16.18, 266.40, 22:21, -12.003303
2024-01-25 16:38:49, 20.73, 0.92, 15.66, 256.78, 22:33, -10.804860
2024-02-24 00:00:00, 0.00, 0.86, 15.43, 246.63, 22:47, -9.402505
2024-03-25 00:00:00, 0.00, 0.93, 15.54, 235.73, 23:01, -7.996610
2024-04-24 04:49:31, 9.78, 0.99, 15.96, 224.02, 23:14, -6.792340
2024-05-24 04:00:14, 18.41, 0.97, 16.65, 211.72, 23:22, -5.984025
2024-06-23 03:47:52, 28.84, 0.88, 17.53, 199.48, 23:26, -5.728922
2024-07-23 03:24:34, 32.05, 0.73, 18.40, 188.16, 23:24, -6.092057
2024-08-22 01:18:59, 31.18, 0.55, 18.98, 178.23, 23:16, -6.961425
2024-09-21 23:11:02, 30.10, 0.54, 19.02, 169.23, 23:07, -8.006510
2024-10-21 21:04:45, 29.33, 0.73, 18.50, 160.13, 22:59, -8.796808
2024-11-20 19:03:28, 29.12, 0.91, 17.65, 150.02, 22:56, -9.025033
2024-12-20 17:08:23, 29.55, 1.03, 16.76, 138.73, 22:59, -8.613217
2025-01-19 16:29:50, 28.46, 1.08, 16.07, 126.65, 23:08, -7.656537
2025-02-18 17:24:10, 13.64, 1.05, 15.67, 114.35, 23:20, -6.332835
2025-03-20 00:00:00, 0.00, 1.03, 15.60, 102.23, 23:34, -4.847754
2025-04-19 05:00:24, 6.13, 1.13, 15.85, 90.46, 23:48, -3.409873
2025-05-19 04:06:44, 14.71, 1.16, 16.41, 79.12, 00:00, -2.218581
2025-06-18 03:46:44, 26.87, 1.07, 17.20, 68.31, 00:08, -1.451825
2025-07-18 04:09:33, 36.68, 0.91, 18.11, 58.20, 00:12, -1.238612
2025-08-17 02:32:44, 36.54, 0.70, 18.91, 48.89, 00:10, -1.600135
