Date, Best Altitude, Magnitude, Size, Best Azimith, RA, Dec
2019-11-17 22:29:17, 50.43, 5.72, 3.75, 16.44, 02:07, 12.315622
2019-12-17 20:27:29, 50.14, 5.75, 3.69, 6.34, 02:03, 12.018093
2020-01-16 18:28:12, 50.07, 5.80, 3.60, 355.37, 02:02, 11.944972
2020-02-15 17:17:12, 49.10, 5.86, 3.51, 343.76, 02:04, 12.134953
2020-03-16 18:10:47, 31.78, 5.90, 3.44, 332.03, 02:09, 12.545583
2020-04-15 19:01:48, 7.54, 5.92, 3.40, 320.73, 02:15, 13.085578
2020-05-15 00:00:00, 0.00, 5.92, 3.41, 310.20, 02:21, 13.649325
2020-06-14 03:46:46, 18.09, 5.89, 3.45, 300.54, 02:27, 14.138804
2020-07-14 04:04:49, 37.94, 5.85, 3.52, 291.66, 02:32, 14.474207
2020-08-13 04:48:43, 52.47, 5.79, 3.61, 283.44, 02:33, 14.600989
2020-09-12 03:12:02, 52.63, 5.74, 3.70, 275.66, 02:32, 14.501032
2020-10-12 01:10:10, 52.34, 5.71, 3.76, 268.10, 02:29, 14.209805
2020-11-11 23:07:10, 51.94, 5.70, 3.76, 260.40, 02:24, 13.827265
2020-12-11 21:04:48, 51.61, 5.73, 3.72, 252.12, 02:20, 13.497933
2021-01-10 19:04:38, 51.48, 5.78, 3.64, 242.73, 02:18, 13.354166
2021-02-09 17:07:30, 51.59, 5.83, 3.54, 231.62, 02:19, 13.459685
2021-03-11 18:01:42, 38.85, 5.88, 3.47, 218.15, 02:23, 13.794897
2021-04-10 18:52:55, 15.05, 5.91, 3.42, 201.92, 02:29, 14.282216
2021-05-10 00:00:00, 0.00, 5.91, 3.41, 183.37, 02:35, 14.821741
2021-06-09 03:48:05, 13.83, 5.89, 3.44, 164.27, 02:42, 15.316703
2021-07-09 03:58:59, 33.03, 5.85, 3.51, 146.88, 02:47, 15.686052
2021-08-08 04:40:22, 51.62, 5.80, 3.59, 132.40, 02:49, 15.870702
2021-09-07 03:49:28, 53.97, 5.74, 3.68, 120.79, 02:49, 15.841524
2021-10-07 01:48:12, 53.74, 5.70, 3.75, 111.39, 02:46, 15.613956
2021-11-06 23:45:16, 53.37, 5.69, 3.78, 103.35, 02:41, 15.263140
2021-12-06 21:42:26, 53.03, 5.70, 3.75, 95.88, 02:37, 14.917638
2022-01-05 19:41:24, 52.84, 5.75, 3.68, 88.34, 02:34, 14.714614
2022-02-04 17:43:15, 52.87, 5.80, 3.58, 80.32, 02:34, 14.739460
2022-03-06 17:52:30, 45.28, 5.85, 3.50, 71.64, 02:37, 14.996504
2022-04-05 18:44:03, 22.62, 5.89, 3.44, 62.26, 02:43, 15.424358
2022-05-05 00:00:00, 0.00, 5.90, 3.42, 52.22, 02:49, 15.930759
2022-06-04 03:50:48, 9.83, 5.89, 3.44, 41.64, 02:56, 16.421346
