Date, Best Altitude, Magnitude, Size, Best Azimith, RA, Dec
2019-11-17 16:11:46, 6.75, -3.68, 11.27, 151.76, 17:11, -23.938029
2019-11-24 16:03:33, 7.72, -3.69, 11.51, 281.94, 17:49, -24.649577
2019-12-01 15:57:37, 8.93, -3.71, 11.76, 114.20, 18:27, -24.754372
2019-12-08 15:54:15, 10.40, -3.72, 12.05, 245.35, 19:05, -24.246660
2019-12-15 15:53:39, 12.15, -3.74, 12.36, 75.97, 19:42, -23.143965
2019-12-22 15:55:52, 14.19, -3.76, 12.70, 208.56, 20:19, -21.484916
2019-12-29 16:00:49, 16.49, -3.79, 13.07, 11.97, 20:54, -19.324856
2020-01-05 16:08:11, 18.99, -3.82, 13.48, 163.56, 21:29, -16.730501
2020-01-12 16:17:35, 21.63, -3.85, 13.93, 306.35, 22:02, -13.774862
2020-01-19 16:28:32, 24.33, -3.88, 14.44, 119.34, 22:34, -10.533238
2020-01-26 16:40:33, 27.00, -3.92, 15.00, 270.74, 23:05, -7.080550
2020-02-02 16:53:11, 29.57, -3.96, 15.62, 79.88, 23:36, -3.489902
2020-02-09 17:06:06, 31.97, -4.00, 16.33, 239.17, 00:05, 0.167962
2020-02-16 17:19:03, 34.15, -4.05, 17.12, 35.73, 00:34, 3.824647
2020-02-23 17:31:52, 36.06, -4.10, 18.01, 193.13, 01:03, 7.413916
2020-03-01 17:44:29, 37.68, -4.15, 19.04, 346.54, 01:32, 10.871590
2020-03-08 17:56:53, 38.96, -4.21, 20.21, 131.81, 02:01, 14.135816
2020-03-15 18:09:04, 39.88, -4.27, 21.57, 307.77, 02:29, 17.147915
2020-03-22 18:21:05, 40.40, -4.33, 23.14, 87.42, 02:58, 19.853950
2020-03-29 18:33:00, 40.47, -4.40, 24.99, 278.05, 03:25, 22.207026
2020-04-05 18:44:52, 40.00, -4.46, 27.16, 52.79, 03:52, 24.170065
2020-04-12 18:56:43, 38.92, -4.52, 29.73, 244.56, 04:17, 25.718400
2020-04-19 19:08:34, 37.09, -4.57, 32.80, 17.88, 04:40, 26.840918
2020-04-26 19:20:22, 34.39, -4.60, 36.44, 181.30, 05:00, 27.537785
2020-05-03 19:32:01, 30.63, -4.59, 40.71, 344.47, 05:14, 27.812007
2020-05-10 19:43:20, 25.63, -4.51, 45.55, 120.71, 05:22, 27.652561
2020-05-17 19:54:07, 19.27, -4.32, 50.67, 318.40, 05:22, 27.013426
2020-05-24 20:04:00, 11.64, -3.96, 55.30, 95.87, 05:13, 25.816666
2020-05-31 00:00:00, 0.00, -3.37, 58.20, 299.35, 04:58, 24.040282
2020-06-07 00:00:00, 0.00, -3.31, 58.29, 82.84, 04:40, 21.887248
2020-06-14 00:00:00, 0.00, -3.91, 55.52, 281.30, 04:25, 19.812621
2020-06-21 03:47:15, 8.97, -4.28, 50.96, 67.87, 04:17, 18.259646
2020-06-28 03:50:11, 12.86, -4.47, 45.84, 258.43, 04:17, 17.413753
2020-07-05 03:55:23, 16.64, -4.55, 40.96, 43.87, 04:23, 17.216189
2020-07-12 04:02:29, 20.23, -4.56, 36.64, 223.14, 04:36, 17.494621
2020-07-19 04:11:07, 23.56, -4.53, 32.96, 9.31, 04:53, 18.057182
2020-07-26 04:20:52, 26.57, -4.47, 29.85, 162.18, 05:14, 18.730827
2020-08-02 04:31:22, 29.20, -4.41, 27.24, 330.10, 05:38, 19.370294
2020-08-09 04:42:20, 31.41, -4.35, 25.03, 108.45, 06:05, 19.857141
2020-08-16 04:53:33, 33.18, -4.28, 23.15, 295.19, 06:33, 20.097135
2020-08-23 05:04:50, 34.47, -4.22, 21.54, 73.39, 07:03, 20.018425
2020-08-30 05:16:08, 35.32, -4.16, 20.16, 260.88, 07:34, 19.570596
2020-09-06 05:27:25, 35.73, -4.11, 18.96, 38.62, 08:06, 18.724026
2020-09-13 05:38:42, 35.75, -4.06, 17.91, 208.97, 08:38, 17.468905
2020-09-20 05:50:01, 35.41, -4.01, 17.00, 355.26, 09:10, 15.813551
2020-09-27 06:01:27, 34.74, -3.97, 16.19, 140.45, 09:42, 13.782013
2020-10-04 06:13:02, 33.79, -3.93, 15.47, 310.00, 10:14, 11.411220
2020-10-11 06:24:50, 32.57, -3.90, 14.84, 99.10, 10:45, 8.748080
2020-10-18 06:36:53, 31.13, -3.87, 14.27, 270.49, 11:17, 5.846894
2020-10-25 06:49:11, 29.49, -3.84, 13.76, 67.16, 11:48, 2.767322
2020-11-01 07:01:38, 27.65, -3.82, 13.31, 228.12, 12:20, -0.427016
2020-11-08 07:14:06, 25.65, -3.79, 12.90, 25.01, 12:51, -3.669367
2020-11-15 07:26:23, 23.51, -3.77, 12.53, 176.23, 13:23, -6.890256
2020-11-22 07:38:07, 21.28, -3.76, 12.20, 324.01, 13:56, -10.017698
2020-11-29 07:48:54, 18.99, -3.74, 11.90, 131.52, 14:29, -12.977509
2020-12-06 07:58:15, 16.70, -3.73, 11.63, 274.62, 15:03, -15.694026
2020-12-13 08:05:42, 14.46, -3.72, 11.39, 97.87, 15:38, -18.091575
2020-12-20 08:10:48, 12.34, -3.71, 11.17, 235.96, 16:14, -20.096980
2020-12-27 08:13:17, 10.36, -3.70, 10.98, 58.98, 16:51, -21.643198
